Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,5,12691,777,1144,42
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,6,8256,864,1291,33
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,4,3418,0,1887,20
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,3,3313,2517,1171,20
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,5,4716,0,816,28
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,3,4010,1247,1088,24
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,6,34516,2264,1330,31
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,2,29081,1396,1538,36
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,5,22352,2517,1350,24
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,6,11656,1677,1441,32
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,5,6748,1467,1201,42
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,6,9095,1587,1314,26
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,3,11751,0,1539,17
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,5,8547,1666,1311,33
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,5,2436,680,1570,29
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,5,4234,972,1348,27
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,6,30367,2362,1671,27
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,4,13535,1291,1028,21
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,2,3193,2517,1336,30
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,6,14470,1157,1207,21
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,5,20979,1800,1178,27
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,2,1438.3,0,692,16
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,4,4470,680,931,18
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,3,2492,1560,1126,23
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,4,12217,0,1110,21
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,6,7768,1669,1051,22
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,4,14784,1374,1197,23
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,3,10215,1010,1904,40
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,5,10100,0,1052,18
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,6,4785,1362,1045,38
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,3,2753,1811,1038,25
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,2,2451,1690,1596,26
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,4,8923,2517,1589,24
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,5,2650,1490,1411,28
